resolution,aspect_ratio,orientation,scale,expected_target_width,expected_target_height,raw_width_after_scale,raw_height_after_scale,output_width,output_height,actual_target_width,actual_target_height,target_delta_width,target_delta_height,target_delta,rounded,rounded_axes,width_delta,height_delta
2K,2:3,Portrait,1.5,1712,2560,1141.333333,1706.666667,1136,1712,1704,2568,-8,8,"-8W, +8H",yes,width+height,-5.333333,5.333333
2K,2:3,Portrait,1.6,1712,2560,1070.000000,1600.000000,1072,1600,1715,2560,3,0,+3W,yes,width,2.000000,0.000000
2K,2:3,Portrait,1.7,1712,2560,1007.058824,1505.882353,1008,1504,1714,2557,2,-3,"+2W, -3H",yes,width+height,0.941176,-1.882353
2K,2:3,Portrait,1.8,1712,2560,951.111111,1422.222222,944,1424,1699,2563,-13,3,"-13W, +3H",yes,width+height,-7.111111,1.777778
2K,2:3,Portrait,1.9,1712,2560,901.052632,1347.368421,896,1344,1702,2554,-10,-6,"-10W, -6H",yes,width+height,-5.052632,-3.368421
2K,2:3,Portrait,2.0,1712,2560,856.000000,1280.000000,864,1280,1728,2560,16,0,+16W,yes,width,8.000000,0.000000
2K,3:4,Landscape,1.0,2560,1920,2560.000000,1920.000000,2560,1920,2560,1920,0,0,0,no,,0.000000,0.000000
2K,3:4,Landscape,1.1,2560,1920,2327.272727,1745.454545,2320,1744,2552,1918,-8,-2,"-8W, -2H",yes,width+height,-7.272727,-1.454545
2K,3:4,Landscape,1.2,2560,1920,2133.333333,1600.000000,2128,1600,2554,1920,-6,0,-6W,yes,width,-5.333333,0.000000
2K,3:4,Landscape,1.3,2560,1920,1969.230769,1476.923077,1968,1472,2558,1914,-2,-6,"-2W, -6H",yes,width+height,-1.230769,-4.923077
2K,3:4,Landscape,1.4,2560,1920,1828.571429,1371.428571,1824,1376,2554,1926,-6,6,"-6W, +6H",yes,width+height,-4.571429,4.571429
2K,3:4,Landscape,1.5,2560,1920,1706.666667,1280.000000,1712,1280,2568,1920,8,0,+8W,yes,width,5.333333,0.000000
2K,3:4,Landscape,1.6,2560,1920,1600.000000,1200.000000,1600,1200,2560,1920,0,0,0,no,,0.000000,0.000000
